Episode Number,Reward Sum,Running Reward
1,-20,-20
2,-20,-20
3,-21,-20.01
4,-20,-20.0099
5,-21,-20.019801
6,-21,-20.02960299
7,-20,-20.02930696
8,-20,-20.02901389
9,-19,-20.01872375
10,-21,-20.02853651
11,-21,-20.03825115
12,-21,-20.04786864
13,-21,-20.05738995
14,-19,-20.04681605
15,-21,-20.05634789
16,-17,-20.02578441
17,-21,-20.03552657
18,-19,-20.0251713
19,-20,-20.02491959
20,-20,-20.02467039
21,-18,-20.00442369
22,-19,-19.99437945
23,-21,-20.00443566
24,-20,-20.0043913
25,-20,-20.00434739
26,-20,-20.00430391
27,-21,-20.01426088
28,-20,-20.01411827
29,-20,-20.01397708
30,-21,-20.02383731
31,-20,-20.02359894
32,-20,-20.02336295
33,-21,-20.03312932
34,-21,-20.04279803
35,-20,-20.04237005
36,-19,-20.03194635
37,-21,-20.04162688
38,-21,-20.05121061
39,-21,-20.06069851
40,-21,-20.07009152
41,-21,-20.07939061
42,-20,-20.0785967
43,-20,-20.07781074
44,-20,-20.07703263
45,-21,-20.0862623
46,-21,-20.09539968
47,-21,-20.10444568
48,-18,-20.08340123
49,-19,-20.07256721
50,-21,-20.08184154
51,-21,-20.09102313
52,-19,-20.08011289
53,-21,-20.08931177
54,-21,-20.09841865
55,-20,-20.09743446
56,-19,-20.08646012
57,-20,-20.08559552
58,-21,-20.09473956
59,-20,-20.09379216
60,-20,-20.09285424
61,-19,-20.0819257
62,-21,-20.09110644
63,-21,-20.10019538
64,-21,-20.10919343
65,-20,-20.10810149
66,-19,-20.09702048
67,-19,-20.08605027
68,-19,-20.07518977
69,-21,-20.08443787
70,-20,-20.08359349
71,-19,-20.07275756
72,-21,-20.08202998
73,-19,-20.07120968
74,-19,-20.06049758
75,-19,-20.04989261
76,-21,-20.05939368
77,-21,-20.06879975
78,-19,-20.05811175
79,-21,-20.06753063
80,-21,-20.07685532
81,-21,-20.08608677
82,-21,-20.0952259
83,-20,-20.09427364
84,-21,-20.10333091
85,-20,-20.1022976
86,-21,-20.11127462
87,-21,-20.12016188
88,-21,-20.12896026
89,-21,-20.13767066
90,-20,-20.13629395
91,-21,-20.14493101
92,-21,-20.1534817
93,-21,-20.16194688
94,-20,-20.16032741
95,-19,-20.14872414
96,-17,-20.1172369
97,-20,-20.11606453
98,-21,-20.12490388
99,-21,-20.13365485
100,-19,-20.1223183
Best reward,-17,
Average reward,-20.19,
