Episode Number,Reward Sum,Running Reward
1,-21,-21
2,-21,-21
3,-19,-20.98
4,-17,-20.9402
5,-19,-20.920798
6,-21,-20.92159002
7,-17,-20.88237412
8,-21,-20.88355038
9,-21,-20.88471487
10,-20,-20.87586773
11,-21,-20.87710905
12,-21,-20.87833796
13,-19,-20.85955458
14,-21,-20.86095903
15,-20,-20.85234944
16,-20,-20.84382595
17,-21,-20.84538769
18,-20,-20.83693381
19,-20,-20.82856447
20,-21,-20.83027883
21,-20,-20.82197604
22,-21,-20.82375628
23,-20,-20.81551872
24,-20,-20.80736353
25,-21,-20.80928989
26,-20,-20.801197
27,-21,-20.80318503
28,-20,-20.79515318
29,-21,-20.79720164
30,-20,-20.78922963
31,-19,-20.77133733
32,-21,-20.77362396
33,-21,-20.77588772
34,-21,-20.77812884
35,-20,-20.77034755
36,-21,-20.77264408
37,-21,-20.77491764
38,-19,-20.75716846
39,-21,-20.75959678
40,-21,-20.76200081
41,-21,-20.7643808
42,-17,-20.72673699
43,-21,-20.72946962
44,-21,-20.73217493
45,-21,-20.73485318
46,-21,-20.73750464
47,-21,-20.7401296
48,-21,-20.7427283
49,-15,-20.68530102
50,-20,-20.67844801
51,-21,-20.68166353
52,-18,-20.65484689
53,-21,-20.65829842
54,-21,-20.66171544
55,-20,-20.65509829
56,-21,-20.6585473
57,-19,-20.64196183
58,-21,-20.64554221
59,-21,-20.64908679
60,-21,-20.65259592
61,-21,-20.65606996
62,-21,-20.65950926
63,-21,-20.66291417
64,-21,-20.66628503
65,-21,-20.66962218
66,-20,-20.66292596
67,-21,-20.6662967
68,-20,-20.65963373
69,-19,-20.64303739
70,-21,-20.64660702
71,-21,-20.65014095
72,-20,-20.64363954
73,-20,-20.63720314
74,-21,-20.64083111
75,-21,-20.6444228
76,-21,-20.64797857
77,-19,-20.63149879
78,-20,-20.6251838
79,-18,-20.59893196
80,-20,-20.59294264
81,-21,-20.59701322
82,-21,-20.60104308
83,-21,-20.60503265
84,-20,-20.59898233
85,-20,-20.5929925
86,-21,-20.59706258
87,-21,-20.60109195
88,-20,-20.59508103
89,-21,-20.59913022
90,-21,-20.60313892
91,-21,-20.60710753
92,-20,-20.60103646
93,-20,-20.59502609
94,-21,-20.59907583
95,-21,-20.60308507
96,-20,-20.59705422
97,-20,-20.59108368
98,-20,-20.58517284
99,-21,-20.58932111
100,-21,-20.5934279
Best reward,-15,
Average reward,-20.32,
