Episode Number	Reward Sum	Running Reward
1	-20	-20
2	-19	-19.99
3	-21	-20.0001
4	-20	-20.000099
5	-21	-20.01009801
6	-21	-20.01999703
7	-20	-20.01979706
8	-19	-20.00959909
9	-17	-19.9795031
10	-21	-19.98970807
11	-20	-19.98981099
12	-19	-19.97991288
13	-19	-19.97011375
14	-21	-19.98041261
15	-19	-19.97060848
16	-20	-19.9709024
17	-20	-19.97119338
18	-20	-19.97148144
19	-20	-19.97176663
20	-21	-19.98204896
21	-19	-19.97222847
22	-20	-19.97250619
23	-20	-19.97278112
24	-20	-19.97305331
25	-20	-19.97332278
26	-21	-19.98358955
27	-20	-19.98375366
28	-20	-19.98391612
29	-21	-19.99407696
30	-20	-19.99413619
31	-20	-19.99419483
32	-21	-20.00425288
33	-21	-20.01421035
34	-21	-20.02406825
35	-19	-20.01382756
36	-20	-20.01368929
37	-18	-19.9935524
38	-19	-19.98361687
39	-20	-19.9837807
40	-20	-19.9839429
41	-21	-19.99410347
42	-20	-19.99416243
43	-20	-19.99422081
44	-21	-20.0042786
45	-19	-19.99423581
46	-21	-20.00429346
47	-21	-20.01425052
48	-21	-20.02410802
49	-21	-20.03386694
50	-19	-20.02352827
51	-21	-20.03329298
52	-21	-20.04296005
53	-21	-20.05253045
54	-21	-20.06200515
55	-21	-20.0713851
56	-20	-20.07067125
57	-21	-20.07996453
58	-21	-20.08916489
59	-21	-20.09827324
60	-21	-20.10729051
61	-21	-20.1162176
62	-21	-20.12505543
63	-17	-20.09380487
64	-21	-20.10286682
65	-20	-20.10183816
66	-20	-20.10081977
67	-21	-20.10981158
68	-21	-20.11871346
69	-21	-20.12752633
70	-19	-20.11625106
71	-20	-20.11508855
72	-19	-20.10393767
73	-21	-20.11289829
74	-21	-20.12176931
75	-21	-20.13055161
76	-21	-20.1392461
77	-21	-20.14785364
78	-21	-20.1563751
79	-21	-20.16481135
80	-21	-20.17316324
81	-20	-20.1714316
82	-20	-20.16971729
83	-19	-20.15802011
84	-21	-20.16643991
85	-21	-20.17477551
86	-19	-20.16302776
87	-21	-20.17139748
88	-20	-20.16968351
89	-19	-20.15798667
90	-19	-20.1464068
91	-20	-20.14494274
92	-20	-20.14349331
93	-19	-20.13205838
94	-21	-20.14073779
95	-19	-20.12933041
96	-21	-20.13803711
97	-20	-20.13665674
98	-20	-20.13529017
99	-21	-20.14393727
100	-21	-20.1524979
Best reward	-17	
Average reward	-20.21	
