Episode Number,Reward Sum,Running Reward
1,-20,-20
2,-21,-20.01
3,-21,-20.0199
4,-21,-20.029701
5,-21,-20.03940399
6,-18,-20.01900995
7,-20,-20.01881985
8,-19,-20.00863165
9,-20,-20.00854534
10,-21,-20.01845988
11,-21,-20.02827528
12,-21,-20.03799253
13,-20,-20.03761261
14,-21,-20.04723648
15,-21,-20.05676411
16,-19,-20.04619647
17,-19,-20.03573451
18,-20,-20.03537716
19,-19,-20.02502339
20,-21,-20.03477316
21,-21,-20.04442543
22,-21,-20.05398117
23,-21,-20.06344136
24,-20,-20.06280695
25,-21,-20.07217888
26,-20,-20.07145709
27,-19,-20.06074252
28,-21,-20.07013509
29,-20,-20.06943374
30,-19,-20.0587394
31,-20,-20.05815201
32,-20,-20.05757049
33,-21,-20.06699479
34,-21,-20.07632484
35,-21,-20.08556159
36,-20,-20.08470597
37,-21,-20.09385891
38,-21,-20.10292032
39,-21,-20.11189112
40,-21,-20.12077221
41,-21,-20.12956449
42,-21,-20.13826884
43,-19,-20.12688615
44,-19,-20.11561729
45,-21,-20.12446112
46,-20,-20.12321651
47,-20,-20.12198434
48,-21,-20.1307645
49,-19,-20.11945686
50,-20,-20.11826229
51,-19,-20.10707966
52,-19,-20.09600887
53,-19,-20.08504878
54,-20,-20.08419829
55,-21,-20.09335631
56,-20,-20.09242274
57,-20,-20.09149852
58,-21,-20.10058353
59,-21,-20.1095777
60,-21,-20.11848192
61,-20,-20.1172971
62,-21,-20.12612413
63,-19,-20.11486289
64,-21,-20.12371426
65,-21,-20.13247712
66,-20,-20.13115235
67,-20,-20.12984082
68,-21,-20.13854241
69,-20,-20.13715699
70,-21,-20.14578542
71,-21,-20.15432757
72,-21,-20.16278429
73,-19,-20.15115645
74,-21,-20.15964488
75,-18,-20.13804843
76,-19,-20.12666795
77,-20,-20.12540127
78,-20,-20.12414726
79,-19,-20.11290578
80,-21,-20.12177673
81,-20,-20.12055896
82,-20,-20.11935337
83,-19,-20.10815984
84,-21,-20.11707824
85,-20,-20.11590746
86,-20,-20.11474838
87,-21,-20.1236009
88,-19,-20.11236489
89,-21,-20.12124124
90,-19,-20.11002883
91,-20,-20.10892854
92,-21,-20.11783925
93,-19,-20.10666086
94,-19,-20.09559425
95,-21,-20.10463831
96,-20,-20.10359193
97,-19,-20.09255601
98,-21,-20.10163045
99,-20,-20.10061414
100,-21,-20.109608
Best reward,-18,
Average reward,-20.2,
