Episode Number,Reward Sum,Running Reward
1,-21.0,-21.0
2,-20.0,-20.99
3,-17.0,-20.9501
4,-19.0,-20.930599
5,-20.0,-20.92129301
6,-19.0,-20.9020800799
7,-21.0,-20.903059279101
8,-21.0,-20.904028686309992
9,-21.0,-20.904988399446893
10,-21.0,-20.905938515452423
11,-21.0,-20.9068791302979
12,-21.0,-20.90781033899492
13,-21.0,-20.908732235604973
14,-21.0,-20.909644913248922
15,-21.0,-20.910548464116435
16,-21.0,-20.91144297947527
17,-20.0,-20.90232854968052
18,-21.0,-20.903305264183714
19,-21.0,-20.90427221154188
20,-19.0,-20.88522948942646
21,-20.0,-20.876377194532196
22,-21.0,-20.877613422586876
23,-21.0,-20.87883728836101
24,-21.0,-20.8800489154774
25,-20.0,-20.871248426322623
26,-20.0,-20.862535942059395
27,-21.0,-20.863910582638802
28,-20.0,-20.855271476812412
29,-20.0,-20.846718762044286
30,-20.0,-20.838251574423843
31,-21.0,-20.839869058679607
32,-19.0,-20.82147036809281
33,-17.0,-20.783255664411886
34,-21.0,-20.785423107767766
35,-19.0,-20.76756887669009
36,-21.0,-20.769893187923188
37,-21.0,-20.772194256043957
38,-20.0,-20.764472313483516
39,-19.0,-20.746827590348683
40,-20.0,-20.739359314445196
41,-21.0,-20.741965721300744
42,-19.0,-20.724546064087736
43,-20.0,-20.71730060344686
44,-20.0,-20.710127597412388
45,-21.0,-20.713026321438264
46,-21.0,-20.715896058223883
47,-19.0,-20.698737097641647
48,-20.0,-20.69174972666523
49,-21.0,-20.69483222939858
50,-21.0,-20.697883907104593
51,-21.0,-20.70090506803355
52,-18.0,-20.673896017353215
53,-21.0,-20.677157057179684
54,-20.0,-20.670385486607888
55,-21.0,-20.67368163174181
56,-21.0,-20.676944815424395
57,-20.0,-20.67017536727015
58,-19.0,-20.653473613597452
59,-21.0,-20.656938877461478
60,-21.0,-20.660369488686865
61,-20.0,-20.653765793799995
62,-21.0,-20.657228135861995
63,-21.0,-20.660655854503375
64,-21.0,-20.664049295958343
65,-21.0,-20.66740880299876
66,-20.0,-20.660734714968772
67,-21.0,-20.664127367819084
68,-19.0,-20.647486094140895
69,-17.0,-20.611011233199488
70,-21.0,-20.614901120867493
71,-20.0,-20.608752109658816
72,-21.0,-20.61266458856223
73,-21.0,-20.616537942676608
74,-21.0,-20.62037256324984
75,-21.0,-20.624168837617344
76,-21.0,-20.62792714924117
77,-20.0,-20.621647877748757
78,-21.0,-20.62543139897127
79,-21.0,-20.629177084981556
80,-21.0,-20.63288531413174
81,-21.0,-20.636556460990423
82,-19.0,-20.62019089638052
83,-21.0,-20.623988987416716
84,-19.0,-20.60774909754255
85,-21.0,-20.611671606567125
86,-20.0,-20.605554890501452
87,-20.0,-20.599499341596438
88,-20.0,-20.593504348180474
89,-21.0,-20.59756930469867
90,-20.0,-20.591593611651682
91,-21.0,-20.595677675535164
92,-20.0,-20.589720898779813
93,-21.0,-20.593823689792014
94,-21.0,-20.597885452894094
95,-21.0,-20.601906598365154
96,-20.0,-20.595887532381504
97,-21.0,-20.59992865705769
98,-21.0,-20.603929370487112
99,-20.0,-20.59789007678224
100,-19.0,-20.58191117601442
101,-21.0,-20.586092064254274
102,-21.0,-20.59023114361173
103,-21.0,-20.594328832175616
104,-20.0,-20.58838554385386
105,-21.0,-20.59250168841532
106,-20.0,-20.586576671531166
107,-21.0,-20.590710904815854
108,-21.0,-20.594803795767696
109,-20.0,-20.58885575781002
110,-21.0,-20.59296720023192
111,-21.0,-20.597037528229603
112,-21.0,-20.60106715294731
113,-21.0,-20.605056481417837
114,-21.0,-20.60900591660366
115,-21.0,-20.612915857437624
116,-20.0,-20.606786698863246
117,-21.0,-20.610718831874614
118,-21.0,-20.614611643555868
119,-21.0,-20.61846552712031
120,-21.0,-20.622280871849107
121,-20.0,-20.616058063130616
122,-21.0,-20.61989748249931
123,-20.0,-20.613698507674318
124,-21.0,-20.617561522597576
125,-21.0,-20.6213859073716
126,-20.0,-20.615172048297882
127,-20.0,-20.609020327814903
128,-21.0,-20.612930124536756
129,-21.0,-20.61680082329139
130,-21.0,-20.620632815058475
131,-21.0,-20.62442648690789
132,-20.0,-20.61818222203881
133,-19.0,-20.602000399818426
134,-21.0,-20.605980395820243
135,-21.0,-20.609920591862043
136,-21.0,-20.613821385943425
137,-21.0,-20.61768317208399
138,-21.0,-20.62150634036315
139,-21.0,-20.62529127695952
140,-20.0,-20.619038364189922
141,-21.0,-20.622847980548023
142,-21.0,-20.626619500742542
143,-21.0,-20.630353305735117
144,-21.0,-20.634049772677766
145,-20.0,-20.627709274950988
146,-20.0,-20.621432182201477
147,-19.0,-20.605217860379465
148,-21.0,-20.60916568177567
149,-20.0,-20.603074024957913
150,-20.0,-20.59704328470833
151,-21.0,-20.601072851861247
152,-20.0,-20.595062123342633
153,-21.0,-20.599111502109206
154,-21.0,-20.603120387088115
155,-21.0,-20.607089183217234
156,-21.0,-20.61101829138506
157,-21.0,-20.614908108471212
158,-21.0,-20.6187590273865
159,-21.0,-20.622571437112637
160,-21.0,-20.62634572274151
161,-21.0,-20.630082265514098
162,-21.0,-20.633781442858957
163,-21.0,-20.63744362843037
164,-20.0,-20.631069192146064
165,-21.0,-20.634758500224603
166,-21.0,-20.63841091522236
167,-19.0,-20.622026806070135
168,-21.0,-20.625806538009435
169,-20.0,-20.61954847262934
170,-21.0,-20.623352987903047
171,-18.0,-20.597119458024014
172,-21.0,-20.601148263443775
173,-20.0,-20.595136780809337
174,-21.0,-20.599185413001244
175,-19.0,-20.583193558871233
176,-21.0,-20.587361623282522
177,-21.0,-20.591488007049698
178,-20.0,-20.5855731269792
179,-21.0,-20.589717395709407
180,-21.0,-20.593820221752313
181,-21.0,-20.59788201953479
182,-21.0,-20.601903199339443
183,-20.0,-20.595884167346046
184,-21.0,-20.599925325672586
185,-21.0,-20.603926072415863
186,-21.0,-20.607886811691706
187,-20.0,-20.601807943574787
188,-21.0,-20.60578986413904
189,-18.0,-20.57973196549765
190,-21.0,-20.583934645842675
191,-21.0,-20.58809529938425
192,-20.0,-20.582214346390405
193,-21.0,-20.5863922029265
194,-20.0,-20.580528280897234
195,-20.0,-20.57472299808826
196,-21.0,-20.578975768107377
197,-21.0,-20.583186010426303
198,-20.0,-20.57735415032204
199,-20.0,-20.57158060881882
200,-21.0,-20.57586480273063
201,-20.0,-20.570106154703325
202,-21.0,-20.574405093156294
203,-20.0,-20.56866104222473
204,-21.0,-20.572974431802482
205,-21.0,-20.57724468748446
206,-20.0,-20.571472240609612
207,-20.0,-20.565757518203515
208,-21.0,-20.570099943021482
209,-17.0,-20.53439894359127
210,-20.0,-20.529054954155356
211,-21.0,-20.5337644046138
212,-19.0,-20.518426760567664
213,-21.0,-20.523242492961987
214,-20.0,-20.518010068032368
215,-21.0,-20.522829967352045
216,-21.0,-20.527601667678525
217,-21.0,-20.53232565100174
218,-21.0,-20.537002394491726
219,-21.0,-20.541632370546807
220,-21.0,-20.54621604684134
221,-20.0,-20.540753886372926
222,-21.0,-20.5453463475092
223,-20.0,-20.539892884034106
224,-21.0,-20.544493955193765
225,-21.0,-20.549049015641828
226,-21.0,-20.55355852548541
227,-18.0,-20.528022940230557
228,-19.0,-20.512742710828253
229,-20.0,-20.507615283719968
230,-20.0,-20.502539130882766
231,-21.0,-20.50751373957394
232,-19.0,-20.492438602178204
233,-20.0,-20.48751421615642
234,-21.0,-20.492639073994855
235,-21.0,-20.497712683254907
236,-20.0,-20.492735556422357
237,-20.0,-20.487808200858133
238,-21.0,-20.492930118849554
239,-19.0,-20.47800081766106
240,-21.0,-20.48322080948445
241,-21.0,-20.488388601389605
242,-21.0,-20.49350471537571
243,-21.0,-20.498569668221954
244,-21.0,-20.503583971539737
245,-19.0,-20.48854813182434
246,-21.0,-20.4936626505061
247,-21.0,-20.498726024001037
248,-21.0,-20.503738763761028
249,-19.0,-20.48870137612342
250,-21.0,-20.493814362362187
251,-20.0,-20.488876218738564
252,-20.0,-20.483987456551176
253,-20.0,-20.479147581985664
254,-21.0,-20.48435610616581
255,-21.0,-20.48951254510415
256,-21.0,-20.49461741965311
257,-21.0,-20.49967124545658
258,-19.0,-20.484674533002014
259,-21.0,-20.489827787671995
260,-21.0,-20.494929509795277
261,-21.0,-20.499980214697324
262,-21.0,-20.504980412550353
263,-21.0,-20.50993060842485
264,-21.0,-20.5148313023406
265,-20.0,-20.50968298931719
266,-21.0,-20.51458615942402
267,-20.0,-20.50944029782978
268,-21.0,-20.514345894851484
269,-21.0,-20.51920243590297
270,-20.0,-20.51401041154394
271,-20.0,-20.5088703074285
272,-21.0,-20.513781604354214
273,-21.0,-20.518643788310673
274,-19.0,-20.503457350427567
275,-20.0,-20.49842277692329
276,-17.0,-20.46343854915406
277,-21.0,-20.46880416366252
278,-21.0,-20.474116122025894
279,-18.0,-20.449374960805635
280,-21.0,-20.45488121119758
281,-19.0,-20.440332399085605
282,-19.0,-20.42592907509475
283,-21.0,-20.431669784343804
284,-21.0,-20.437353086500366
285,-21.0,-20.442979555635365
286,-20.0,-20.43854976007901
287,-21.0,-20.44416426247822
288,-20.0,-20.439722619853438
289,-21.0,-20.445325393654905
290,-21.0,-20.450872139718356
291,-21.0,-20.456363418321175
292,-20.0,-20.45179978413796
293,-19.0,-20.437281786296584
294,-21.0,-20.442908968433617
295,-21.0,-20.448479878749282
296,-21.0,-20.45399507996179
297,-20.0,-20.44945512916217
298,-20.0,-20.44496057787055
