Episode Number,Reward Sum,Running Reward
5001,-21,-21
5002,-20,-20.99
5003,-20,-20.9801
5004,-21,-20.980299
5005,-20,-20.97049601
5006,-21,-20.97079105
5007,-20,-20.96108314
5008,-20,-20.95147231
5009,-19,-20.93195758
5010,-21,-20.93263801
5011,-19,-20.91331163
5012,-19,-20.89417851
5013,-18,-20.86523673
5014,-20,-20.85658436
5015,-20,-20.84801852
5016,-19,-20.82953833
5017,-20,-20.82124295
5018,-21,-20.82303052
5019,-21,-20.82480021
5020,-21,-20.82655221
5021,-21,-20.82828669
5022,-20,-20.82000382
5023,-21,-20.82180378
5024,-21,-20.82358575
5025,-20,-20.81534989
5026,-21,-20.81719639
5027,-20,-20.80902443
5028,-21,-20.81093418
5029,-20,-20.80282484
5030,-20,-20.79479659
5031,-19,-20.77684863
5032,-21,-20.77908014
5033,-21,-20.78128934
5034,-21,-20.78347644
5035,-19,-20.76564168
5036,-21,-20.76798526
5037,-19,-20.75030541
5038,-19,-20.73280236
5039,-21,-20.73547433
5040,-21,-20.73811959
5041,-20,-20.73073839
5042,-19,-20.71343101
5043,-20,-20.7062967
5044,-19,-20.68923373
5045,-21,-20.6923414
5046,-21,-20.69541798
5047,-18,-20.6684638
5048,-21,-20.67177916
5049,-19,-20.65506137
5050,-21,-20.65851076
5051,-20,-20.65192565
5052,-21,-20.65540639
5053,-21,-20.65885233
5054,-20,-20.65226381
5055,-21,-20.65574117
5056,-21,-20.65918376
5057,-21,-20.66259192
5058,-21,-20.665966
5059,-20,-20.65930634
5060,-21,-20.66271328
5061,-20,-20.65608614
5062,-20,-20.64952528
5063,-19,-20.63303003
5064,-21,-20.63669973
5065,-21,-20.64033273
5066,-21,-20.64392941
5067,-20,-20.63749011
5068,-21,-20.64111521
5069,-21,-20.64470406
5070,-20,-20.63825702
5071,-20,-20.63187445
5072,-20,-20.6255557
5073,-21,-20.62930015
5074,-19,-20.61300714
5075,-21,-20.61687707
5076,-19,-20.6007083
5077,-20,-20.59470122
5078,-21,-20.59875421
5079,-21,-20.60276666
5080,-21,-20.606739
5081,-20,-20.60067161
5082,-19,-20.58466489
5083,-21,-20.58881824
